name     ,homepage                                  ,code                                      ,engine
firefox  ,https://www.mozilla.org/en-US/firefox/new ,                                          ,gecko
orion    ,https://kagi.com/orion/                   ,                                          ,
pulse    ,https://pulsebrowser.app                  ,                                          ,
floorp   ,https://floorp.app/en                     ,https://github.com/Floorp-Projects/Floorp ,
chrome   ,                                          ,                                          ,blink
chromium ,                                          ,                                          ,
safari   ,                                          ,                                          ,
waterfox ,                                          ,                                          ,
brave    ,                                          ,                                          ,
vivaldi  ,                                          ,                                          ,
opera    ,                                          ,                                          ,
sidekick ,https://www.meetsidekick.com              ,                                          ,
